"","HB01","HB04","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HB48","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"Q9BUB7",14.0383936381726,14.258381285778,15.1594491491488,13.6861888481014,14.9129218719158,12.1068467316528,15.1168309390894,14.2661740416554,13.883449928192,14.0950854716667,12.3246317830779,15.1939346220309,14.8667950954015,15.7322027367089,14.9526894134346,15.0351555796661,15.6427229797434,14.4787240570828,16.0789492249772,15.2873005024589,15.2381943316831,15.4042037780702,15.2236245623119,16.1681364579489,15.1939346220309,15.3081404044362,15.5843411631617,12.6067634286555,14.7485928636955,15.7953719501481,15.828298941591,15.7119548812573,14.9226200907471,14.0119424902174,13.8558318840023,15.5454732690423,14.7714861493326,14.6564790441647,13.8928681522889,14.3067646973861,15.3397652733266,14.5909300937847,17.0762850017458,15.3125851786651,14.9648930353638,14.2569920353979,15.1213914605781
"Q9H4A4",15.2370838094923,14.626555381379,15.0056118959329,15.01664983046,14.2977640933194,15.3943403563346,14.8452765132547,15.7700300678087,14.3370377648606,14.8023347192303,16.4108736639768,12.9772406137391,14.918224907621,13.9476355902269,14.0391266495199,12.2565322786607,14.5176598462492,14.5359068978733,14.2926534896633,14.5293495418745,14.372477686254,15.1566237274398,13.5654111049496,13.5974005759401,14.7010953174448,14.2913260778305,14.6644295103142,13.3366467304001,14.2686621983891,14.426902195865,14.440320001172,15.3530225553447,15.1808003760192,14.8089739592585,13.6036768916076,15.0503700208848,14.6391753584199,15.5946917495651,14.5824762275711,14.7763425277306,14.7928187013482,14.6811604667165,15.1648771397342,11.8836326489483,15.1361114118513,14.6960879591929,14.3977181916808
"Q9H8V3",15.0496532086433,12.3726542099148,16.3189308375992,16.5801765600984,13.9301662480625,15.4925990262003,14.2573064603768,16.413243681548,16.0708474144132,14.3455105108251,15.5135756904853,17.0682950729263,16.9081222445775,17.5690662754101,16.2346771072766,16.8431429322502,17.2949260125031,17.1799893788274,16.9780127124303,15.7699935746371,13.7703033006742,16.4460840942807,17.1029401992561,17.2209502890707,16.5311704987638,16.5289894469771,17.63512174871,16.5848380394154,17.4210335734705,15.831888654352,17.472025221402,15.6822392252167,17.1042749672105,16.7337129844174,15.1628498165107,16.5757320726543,16.7506263696949,17.2027600735384,12.8143556553798,16.1664213966719,16.4012951215116,15.092774331478,16.5113516843922,15.9060501062476,15.8535644444526,16.759561453878,16.6807827817225
"Q9UNN5",15.4468555857686,14.3001655409782,15.8863036764521,15.3443384517724,12.3744040594222,15.5526635471493,14.5935571811038,17.1454403121787,14.457512905612,13.4563016180335,13.2262774290096,17.122552617033,17.9993434828561,16.9737499860134,16.3661521419891,15.2882071030083,13.102834176765,15.2443779271188,16.9479274458059,17.9709121681369,16.4007925445171,16.7680833477645,16.3224184487631,16.5939569004454,18.3311866143394,16.2016911276713,16.5210784800371,17.318096084009,17.2470009913537,17.1703135173486,16.8835628127381,17.5991644876437,17.7369372341062,14.9082667168524,16.8082023171721,16.9296738066522,15.7788415463961,15.7603399659385,11.8092046477637,17.1009402038176,15.8360953955907,16.0394760028545,17.0339495657482,15.3360519298844,15.6014814948816,15.8146288012019,15.8688657425201
"Q9Y3F4",14.7024139853449,14.3325028851492,14.8756716753378,13.9849134381214,14.5508640847082,14.4321280201187,14.3976063999386,13.6869142139591,14.2644528508054,14.143811183836,12.8637421221142,12.5676195276441,12.7677217113555,13.5610789620865,13.7302366460305,14.0832706288707,13.2697116068538,12.423259316077,13.3257707939752,13.8949468984492,12.8174418366028,13.1670236243137,14.9053613822584,12.5143854029517,13.9663344826535,13.6295287494953,11.8957781060731,13.415059073183,12.3171681384191,12.9811915489501,12.5143854029517,13.1592460777751,13.7921832294122,13.4498075974376,13.3451864850892,13.314269426044,13.2663596239222,13.490318534404,14.0397634995852,13.2641436109099,13.621376293999,13.4459989956452,14.4382583929543,14.2888020324596,13.1822612494982,13.7380822584882,13.4348468703951
"Q9Y696",15.2582780881624,13.4688098473564,14.6541890627708,14.5452138724546,13.9821706049444,15.0409229214531,12.8677369692315,14.5936747851709,14.9722188617303,14.6707774481266,11.4137725620144,16.6276087919471,15.9913699877124,14.9130108588287,14.7140807421125,13.8146111394786,15.1754053705362,15.3289970132842,15.2519502242648,15.8541433510109,15.0906559945971,15.2160962128487,15.1365005177187,15.5883341392491,15.4313852875641,15.5453162737187,14.1353114413541,16.5640310526954,15.6619243396966,15.9949866208091,15.8474854827328,15.856176787001,14.5846219507568,14.2444449320775,13.7238615642534,13.7985869789008,15.7652021508675,15.8727893053191,14.7553463324842,13.6278442376274,14.9075603207265,15.1829929261502,16.0064017010066,15.3976562042825,14.7695395311133,15.3690435507491,13.4209050775829
"Q9Y6K8",13.5498232233994,14.2134308843663,14.6954381290798,14.8553655802637,14.366778823961,15.001262295105,13.8618490845831,15.4740885242741,14.188696855671,14.3361368698336,16.2598720137769,15.8831654262402,15.4940921939756,15.9458644370221,14.9311045772252,14.6428966259502,15.1313621355132,14.583044907935,14.9353734077894,14.4144450435806,14.7227733338398,14.6463666585441,15.3421219061898,15.9704232488586,16.1882555070965,16.1724810762099,15.5806355449928,15.9389683957652,15.6232136833273,16.4523593403293,16.2802499591745,16.6894772652502,15.8199432596081,15.3196544401965,14.8805184891885,15.3320059692063,14.4134170447982,15.5352624698343,13.4561683035404,15.240067519895,15.6192707877287,15.5636849834958,14.4333616899106,15.5868535699603,15.4748809442903,14.717107303017,14.4812190240843
"O14579",15.7667799370708,14.563173759107,12.6513112311965,15.9332224073064,15.6774762363629,14.1480806403302,15.1519027371661,13.9972315733042,15.6430094090641,12.824218283979,15.0545802112446,16.7625910316089,16.8222534239466,15.2562834487869,16.1577367224507,15.6680567273297,15.560263959885,14.9395034975254,17.1546187776635,15.1900747738926,15.7784871448606,16.6668243309277,16.2119360379603,16.5494000244095,16.7625910316089,16.335791667587,16.5649289809651,14.9276292007947,17.1001455999312,17.0825389898135,15.9461556018507,16.2588727498535,16.8830878570566,16.2008920251934,14.1074642586729,15.9213967199906,15.2436773757883,15.5536411186467,13.3081437013384,13.7720723300159,15.4827434320469,15.9379169304223,16.3319397358869,16.795804547369,15.0949220890228,15.0454984707689,16.624609198972
"O94966",15.2326268024966,15.7428635782062,15.2048427507374,16.0486202173754,15.198014010405,14.2990560304483,15.880821372755,16.396824522074,16.1598590175539,15.7616116226137,15.8445781717911,14.1862661868535,14.8866980776519,14.247318694486,13.5568165588267,14.8430415262817,14.9764926165065,15.0742720581653,14.4960807022903,13.6636352353221,14.6805661621344,12.6080829018269,15.741032538401,13.7626147326049,15.9472222764702,13.8780011521946,15.5029131562455,14.7390771429116,11.6640503724297,16.1045697335766,14.5040489234375,14.4727027388001,12.7134830150417,15.7414865691105,15.7414865691105,15.0156276140863,16.1309491651107,14.9750924498418,15.6630791544551,15.1544574209433,11.521853212763,13.6580991831376,15.642514435544,15.5501914359871,16.3939971869633,15.8124980035575,15.6492160551091
"O94992",16.0650742595849,14.5855399832043,16.3756114609952,15.4811748930922,16.4531332228291,16.5085079675849,16.2496373411698,15.435111677057,18.093304042781,15.978956050052,16.6223804645792,15.5318490136716,15.7608771498214,14.538803930308,14.1111958426136,15.7108391930719,14.7971648410352,14.5026317458898,16.1980679292463,13.0885100720286,13.6825379560706,14.6750979465995,15.3307994000219,15.3571890761415,14.9656556215289,16.0259641174967,15.2021690193449,15.7550495498566,15.1663154745889,15.3617509317347,14.6528402182758,15.471691161971,16.536658250717,15.5674710144517,16.3499215437116,13.9194006782114,16.1429579606525,16.2566559407054,16.1222377837192,14.9262405059326,14.9224687852437,15.6176533056747,16.0682487961861,16.9349423082105,14.972461962999,14.9187638677391,15.577139492139
